id,player_name,games,min_PG,goals_season,xG_season,assists_season,xA_season,shots_season,key_passes_season,yellow_cards,red_cards,position,team_title,npg_season,npxG_season
1409,Nicolò Barella,7,84.43,1,0.53,2,1.52,11,11,1,0,M,Inter,1,0.53
1423,Matías Vecino,6,31.67,1,1.22,1,0.65,7,2,1,0,M S,Lazio,1,1.22
1473,Matteo Politano,10,77.5,1,1.14,0,0.73,16,15,0,0,F M S,Napoli,1,1.14
1725,Christian Kabasele,9,66.78,1,1.28,0,0.03,13,2,0,0,D S,Udinese,1,1.28
4733,José Luis Palomino,5,38.6,1,0.24,0,0.0,1,0,1,0,D S,Cagliari,1,0.24
4920,Matteo Gabbia,4,90.0,1,0.75,0,0.08,5,1,1,0,D,AC Milan,1,0.75
4951,Grigoris Kastanos,8,44.75,1,0.16,1,0.45,5,3,1,0,F M S,Verona,1,0.16
5025,Alessandro Buongiorno,9,90.0,1,0.61,0,0.6,5,4,1,0,D,Napoli,1,0.61
5360,Weston McKennie,6,58.67,1,0.67,2,1.01,4,3,1,0,M S,Juventus,1,0.67
5509,Hernani,7,59.0,1,0.9,1,0.93,6,11,1,0,M S,Parma Calcio 1913,0,0.14
5560,Scott McTominay,7,78.14,1,1.3,1,0.59,14,3,0,0,M S,Napoli,1,1.3
5759,Matteo Guendouzi,9,87.56,1,0.31,0,1.08,9,9,2,0,M,Lazio,1,0.31
5954,Eldor Shomurodov,4,5.5,1,0.54,0,0.04,3,1,1,0,S,Roma,1,0.54
6155,Robin Gosens,7,86.71,1,0.84,2,1.4,6,11,2,0,D,Fiorentina,1,0.84
6196,Nicolas Viola,6,49.5,1,0.75,0,0.51,8,7,0,0,F M S,Cagliari,1,0.75
6276,Nikola Vlasic,4,47.0,1,0.96,2,0.11,5,2,0,0,M S,Torino,0,0.2
6434,Franck Zambo,10,90.0,1,0.56,1,0.7,11,6,2,0,M,Napoli,1,0.56
6762,Yacine Adli,7,39.0,1,0.03,2,1.65,1,10,1,0,M S,Fiorentina,1,0.03
6945,Youssouf Fofana,8,77.0,1,0.17,0,0.03,5,2,2,0,M S,AC Milan,1,0.17
7193,Rafael Leão,8,68.0,1,2.59,3,1.72,24,15,0,0,F M S,AC Milan,1,2.59
